GO_Term,Precision,Recall,F1_Score,Support
GO:0003674,0.6345955604425813,0.7834719158323434,0.7012188176329878,11786
GO:0005488,0.6068544769424009,0.391118306927258,0.47566807313642756,8647
GO:0004888,0.7254901960784313,0.3490566037735849,0.4713375796178344,318
GO:0060089,0.6989795918367347,0.3246445497630332,0.44336569579288027,422
GO:0038023,0.6968085106382979,0.3156626506024096,0.43449419568822556,415
GO:0005215,0.6868686868686869,0.30132939438700146,0.4188911704312115,677
GO:0022857,0.6821428571428572,0.29704510108864696,0.41386782231852653,643
GO:0003824,0.6389563106796117,0.2774703557312253,0.3869189785045012,3795
GO:0015075,0.75,0.25271739130434784,0.3780487804878049,368
GO:0008324,0.7553191489361702,0.23509933774834438,0.35858585858585856,302
GO:0015318,0.7289719626168224,0.2314540059347181,0.35135135135135137,337
GO:0005515,0.5966022651565623,0.24771784232365146,0.3500781860828773,7230
GO:0004672,0.6666666666666666,0.18902439024390244,0.29453681710213775,328
GO:0016301,0.6274509803921569,0.13675213675213677,0.22456140350877193,468
GO:0003700,0.594059405940594,0.13452914798206278,0.21937842778793418,446
GO:0140110,0.6333333333333333,0.13217391304347825,0.218705035971223,575
GO:0016773,0.6547619047619048,0.13033175355450238,0.21739130434782608,422
GO:0003677,0.6464088397790055,0.12212943632567849,0.2054433713784021,958
GO:0043565,0.625,0.11922503725782414,0.2002503128911139,671
GO:0016772,0.6888888888888889,0.10316139767054909,0.17945007235890015,601
GO:0046983,0.7692307692307693,0.0970873786407767,0.1724137931034483,309
GO:0003676,0.6521739130434783,0.09721322099805574,0.1692047377326565,1543
GO:0003690,0.574468085106383,0.09642857142857143,0.1651376146788991,560
GO:0000976,0.5571428571428572,0.09443099273607748,0.16149068322981366,413
GO:0003723,0.5757575757575758,0.09193548387096774,0.15855354659248957,620
GO:0016787,0.7162162162162162,0.0875309661436829,0.15599705665930833,1211
GO:0005102,0.5692307692307692,0.08788598574821853,0.1522633744855967,421
GO:1990837,0.5308641975308642,0.08531746031746032,0.147008547008547,504
GO:0016491,0.6951219512195121,0.08213256484149856,0.14690721649484537,694
GO:0140096,0.6615384615384615,0.08151658767772511,0.1451476793248945,1055
GO:0097159,0.6371308016877637,0.0785639958376691,0.1398795738767948,1922
GO:0016740,0.6545454545454545,0.07578947368421053,0.13584905660377358,1425
GO:1901363,0.6261261261261262,0.07346723044397463,0.1315042573320719,1892
GO:0001067,0.484375,0.07451923076923077,0.12916666666666668,416
GO:0030234,0.6857142857142857,0.06936416184971098,0.12598425196850394,346
GO:0098772,0.5964912280701754,0.062157221206581355,0.11258278145695365,547
GO:0044877,0.6216216216216216,0.05596107055961071,0.10267857142857142,411
GO:0016788,0.7027027027027027,0.05473684210526316,0.1015625,475
GO:0140677,0.46153846153846156,0.05263157894736842,0.09448818897637795,342
GO:0140640,0.5714285714285714,0.04519774011299435,0.08376963350785341,354
GO:0097367,0.5185185185185185,0.04501607717041801,0.08284023668639054,311
GO:0046872,0.5,0.04176334106728538,0.07708779443254818,431
GO:0043169,0.4864864864864865,0.03821656050955414,0.07086614173228346,471
GO:0036094,0.48484848484848486,0.03547671840354767,0.06611570247933884,451
GO:0019899,0.4594594594594595,0.02905982905982906,0.05466237942122187,585
GO:0000166,0.3333333333333333,0.024822695035460994,0.0462046204620462,282
GO:1901265,0.3333333333333333,0.024822695035460994,0.0462046204620462,282
GO:0043167,0.5,0.02386934673366834,0.045563549160671464,796
GO:0042802,0.47058823529411764,0.019347037484885126,0.03716608594657375,827
GO:0043168,0.3076923076923077,0.0196078431372549,0.03686635944700461,408
